year,date,tournament,level,division,category,placement,total_teams,school,city,state
1985,1985-01-01,1985-01-01_nationals_c,Nationals,C,nationals,1,26,Seaholm High School,Birmingham,MI
1985,1985-01-01,1985-01-01_nationals_c,Nationals,C,nationals,2,26,Athens High School,Troy,MI
1985,1985-01-01,1985-01-01_nationals_c,Nationals,C,nationals,3,26,Neenah High School,Neenah,WI
1985,1985-01-01,1985-01-01_nationals_c,Nationals,C,nationals,4,26,Harborfields High School,Greenlawn,NY
1985,1985-01-01,1985-01-01_nationals_c,Nationals,C,nationals,5,26,Page High School,Greensboro,NC
1985,1985-01-01,1985-01-01_nationals_c,Nationals,C,nationals,6,26,Niskayuna High School,Niskayuna,NY
1985,1985-01-01,1985-01-01_nationals_c,Nationals,C,nationals,7,26,Lakeridge High School,Lake Oswego,OR
1985,1985-01-01,1985-01-01_nationals_c,Nationals,C,nationals,8,26,Yarmouth High School,Yarmouth,ME
1985,1985-01-01,1985-01-01_nationals_c,Nationals,C,nationals,9,26,Irmo High School,Columbia,SC
1985,1985-01-01,1985-01-01_nationals_c,Nationals,C,nationals,10,26,Sun Valley High School,Aston,PA
1985,1985-01-01,1985-01-01_nationals_c,Nationals,C,nationals,11,26,Klein High School,Klein,TX
1985,1985-01-01,1985-01-01_nationals_c,Nationals,C,nationals,12,26,Forest Lake Area High School,Forest Lake,MN
1985,1985-01-01,1985-01-01_nationals_c,Nationals,C,nationals,13,26,Loveland High School,Loveland,OH
1985,1985-01-01,1985-01-01_nationals_c,Nationals,C,nationals,14,26,Anchor Bay High School,Fair Haven,MI
1985,1985-01-01,1985-01-01_nationals_c,Nationals,C,nationals,15,26,Apple Valley High School,Apple Valley,MN
1985,1985-01-01,1985-01-01_nationals_c,Nationals,C,nationals,16,26,Saint Mark's High School,Wilmington,DE
1985,1985-01-01,1985-01-01_nationals_c,Nationals,C,nationals,17,26,Findlay Senior High School,Findlay,OH
1985,1985-01-01,1985-01-01_nationals_c,Nationals,C,nationals,18,26,Hilliard Davidson High School,Hilliard,OH
1985,1985-01-01,1985-01-01_nationals_c,Nationals,C,nationals,19,26,Lumpkin County High School,Dahlonega,GA
1985,1985-01-01,1985-01-01_nationals_c,Nationals,C,nationals,20,26,Deer Park High School,Deer Park,TX
1985,1985-01-01,1985-01-01_nationals_c,Nationals,C,nationals,21,26,Madison West High School,Madison,WI
1985,1985-01-01,1985-01-01_nationals_c,Nationals,C,nationals,22,26,Donald E. Gavit Junior/Senior High School,Hammond,IN
1985,1985-01-01,1985-01-01_nationals_c,Nationals,C,nationals,23,26,Wallenpaupack Area High School,Hawley,PA
1985,1985-01-01,1985-01-01_nationals_c,Nationals,C,nationals,24,26,Seymour High School,Seymour,IN
1985,1985-01-01,1985-01-01_nationals_c,Nationals,C,nationals,25,26,Glencliff High School,Nashville,TN
1985,1985-01-01,1985-01-01_nationals_c,Nationals,C,nationals,26,26,Shanley High School,Fargo,ND
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,1,34,Findlay High School,Findlay,OH
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,2,34,Seaholm High School,Birmingham,MI
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,3,34,Madison West High School,Madison,WI
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,4,34,Hershey High School,Hershey,PA
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,5,34,Gompers Secondary School,San Diego,CA
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,6,34,Lanier High School,Montgomery,AL
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,8,34,Irmo High School,Columbia,SC
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,9,34,Centerville High School,Centerville,OH
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,10,34,Apple Valley High School,Apple Valley,MN
1986,1986-01-01,1986-01-01_nationals_c,Nationals,C,nationals,11,34,Bozeman High School,Bozeman,MT
